Postcode,Gemeente,Hoofdgemeente,Begindatum geldigheid,Einddatum geldigheid,INS Code
2550,Kontich,Kontich,01/01/1900,31/12/9999,11024
2550,Waarloos,Kontich,01/01/1900,31/12/9999,11024
2560,Bevel,Nijlen,01/01/1900,31/12/9999,12026
2560,Kessel,Nijlen,01/01/1900,31/12/9999,12026
2560,Nijlen,Nijlen,01/01/1900,31/12/9999,12026
2570,Duffel,Duffel,01/01/1900,31/12/9999,12009
2580,Beerzel,Putte,01/01/1900,31/12/9999,12029
2580,Putte,Putte,01/01/1900,31/12/9999,12029
2590,Berlaar,Berlaar,01/01/1900,31/12/9999,12002
2590,Gestel,Berlaar,01/01/1900,31/12/9999,12002
2600,Berchem (Antwerpen),Antwerpen,01/01/1900,31/12/9999,11002
2610,Wilrijk (Antwerpen),Antwerpen,01/01/1900,31/12/9999,11002
2620,Hemiksem,Hemiksem,01/01/1900,31/12/9999,11018
2627,Schelle,Schelle,01/01/1900,31/12/9999,11038
2630,Aartselaar,Aartselaar,01/01/1900,31/12/9999,11001
2640,Mortsel,Mortsel,01/01/1900,31/12/9999,11029
2650,Edegem,Edegem,01/01/1900,31/12/9999,11013
2660,Hoboken (Antwerpen),Antwerpen,01/01/1900,31/12/9999,11002
2800,Mechelen,Mechelen,01/01/1900,31/12/9999,12025
2800,Walem,Mechelen,01/01/1900,31/12/9999,12025
2801,Heffen,Mechelen,01/01/1900,31/12/9999,12025
2811,Hombeek,Mechelen,01/01/1900,31/12/9999,12025
2811,Leest,Mechelen,01/01/1900,31/12/9999,12025
2812,Muizen (Mechelen),Mechelen,01/01/1900,31/12/9999,12025
2820,Bonheiden,Bonheiden,01/01/1900,31/12/9999,12005
2820,Rijmenam,Bonheiden,01/01/1900,31/12/9999,12005
2830,Blaasveld,Willebroek,01/01/1900,31/12/9999,12040
2830,Heindonk,Willebroek,01/01/1900,31/12/9999,12040
2830,Tisselt,Willebroek,01/01/1900,31/12/9999,12040
2830,Willebroek,Willebroek,01/01/1900,31/12/9999,12040
2840,Reet,Rumst,01/01/1900,31/12/9999,11037
2840,Rumst,Rumst,01/01/1900,31/12/9999,11037
2840,Terhagen,Rumst,01/01/1900,31/12/9999,11037
2845,Niel,Niel,01/01/1900,31/12/9999,11030
2850,Boom,Boom,01/01/1900,31/12/9999,11005
2860,Sint-Katelijne-Waver,Sint-Katelijne-Waver,01/01/1900,31/12/9999,12035
2861,Onze-Lieve-Vrouw-Waver,Sint-Katelijne-Waver,01/01/1900,31/12/9999,12035
2870,Breendonk,Puurs,01/01/1900,31/12/9999,12030
2870,Liezele,Puurs,01/01/1900,31/12/9999,12030
2870,Puurs,Puurs,01/01/1900,31/12/9999,12030
2870,Ruisbroek (Antw.),Puurs,01/01/1900,31/12/9999,12030
2880,Bornem,Bornem,01/01/1900,31/12/9999,12007
2880,Hingene,Bornem,01/01/1900,31/12/9999,12007
2880,Mariekerke (Bornem),Bornem,01/01/1900,31/12/9999,12007
2880,Weert,Bornem,01/01/1900,31/12/9999,12007
2890,Lippelo,Sint-Amands,01/01/1900,31/12/9999,12034
2890,Oppuurs,Sint-Amands,01/01/1900,31/12/9999,12034
2890,Sint-Amands,Sint-Amands,01/01/1900,31/12/9999,12034
2900,Schoten,Schoten,01/01/1900,31/12/9999,11040
2910,Essen,Essen,01/01/1900,31/12/9999,11016
2920,Kalmthout,Kalmthout,01/01/1900,31/12/9999,11022
2930,Brasschaat,Brasschaat,01/01/1900,31/12/9999,11008
2940,Hoevenen,Stabroek,01/01/1900,31/12/9999,11044
2940,Stabroek,Stabroek,01/01/1900,31/12/9999,11044
2950,Kapellen (Antw.),Kapellen (Antw.),01/01/1900,31/12/9999,11023
2960,Brecht,Brecht,01/01/1900,31/12/9999,11009
2960,Sint-Job-in-'t-Goor,Brecht,01/01/1900,31/12/9999,11009
2960,Sint-Lenaarts,Brecht,01/01/1900,31/12/9999,11009
2970,'s Gravenwezel,Schilde,01/01/1900,31/12/9999,11039
2970,Schilde,Schilde,01/01/1900,31/12/9999,11039
2980,Halle (Kempen),Zoersel,01/01/1900,31/12/9999,11055
2980,Zoersel,Zoersel,01/01/1900,31/12/9999,11055
2990,Loenhout,Wuustwezel,01/01/1900,31/12/9999,11053
2990,Wuustwezel,Wuustwezel,01/01/1900,31/12/9999,11053
3000,Leuven,Leuven,01/01/1900,31/12/9999,24062
3001,Heverlee,Leuven,01/01/1900,31/12/9999,24062
3010,Kessel-Lo,Leuven,01/01/1900,31/12/9999,24062
3012,Wilsele,Leuven,01/01/1900,31/12/9999,24062
3018,Wijgmaal (Vl.Br.),Leuven,01/01/1900,31/12/9999,24062
3020,Herent,Herent,01/01/1900,31/12/9999,24038
3020,Veltem-Beisem,Herent,01/01/1900,31/12/9999,24038
3020,Winksele,Herent,01/01/1900,31/12/9999,24038
3040,Huldenberg,Huldenberg,01/01/1900,31/12/9999,24045
3040,Loonbeek,Huldenberg,01/01/1900,31/12/9999,24045
3040,Neerijse,Huldenberg,01/01/1900,31/12/9999,24045
3040,Ottenburg,Huldenberg,01/01/1900,31/12/9999,24045
3040,Sint-Agatha-Rode,Huldenberg,01/01/1900,31/12/9999,24045
3050,Oud-Heverlee,Oud-Heverlee,01/01/1900,31/12/9999,24086
3051,Sint-Joris-Weert,Oud-Heverlee,01/01/1900,31/12/9999,24086
3052,Blanden,Oud-Heverlee,01/01/1900,31/12/9999,24086
3053,Haasrode,Oud-Heverlee,01/01/1900,31/12/9999,24086
3054,Vaalbeek,Oud-Heverlee,01/01/1900,31/12/9999,24086
3060,Bertem,Bertem,01/01/1900,31/12/9999,24009
3060,Korbeek-Dijle,Bertem,01/01/1900,31/12/9999,24009
3061,Leefdaal,Bertem,01/01/1900,31/12/9999,24009
3070,Kortenberg,Kortenberg,01/01/1900,31/12/9999,24055
3071,Erps-Kwerps,Kortenberg,01/01/1900,31/12/9999,24055
3078,Everberg,Kortenberg,01/01/1900,31/12/9999,24055
3078,Meerbeek,Kortenberg,01/01/1900,31/12/9999,24055
3080,Duisburg,Tervuren,01/01/1900,31/12/9999,24104
3080,Tervuren,Tervuren,01/01/1900,31/12/9999,24104
3080,Vossem,Tervuren,01/01/1900,31/12/9999,24104
3090,Overijse,Overijse,01/01/1900,31/12/9999,23062
3110,Rotselaar,Rotselaar,01/01/1900,31/12/9999,24094
3111,Wezemaal,Rotselaar,01/01/1900,31/12/9999,24094
3118,Werchter,Rotselaar,01/01/1900,31/12/9999,24094
3120,Tremelo,Tremelo,01/01/1900,31/12/9999,24109
3128,Baal,Tremelo,01/01/1900,31/12/9999,24109
3130,Begijnendijk,Begijnendijk,01/01/1900,31/12/9999,24007
3130,Betekom,Begijnendijk,01/01/1900,31/12/9999,24007
3140,Keerbergen,Keerbergen,01/01/1900,31/12/9999,24048
3150,Haacht,Haacht,01/01/1900,31/12/9999,24033
3150,Tildonk,Haacht,01/01/1900,31/12/9999,24033
3150,Wespelaar,Haacht,01/01/1900,31/12/9999,24033
3190,Boortmeerbeek,Boortmeerbeek,01/01/1900,31/12/9999,24014
3191,Hever,Boortmeerbeek,01/01/1900,31/12/9999,24014
3200,Aarschot,Aarschot,01/01/1900,31/12/9999,24001
3200,Gelrode,Aarschot,01/01/1900,31/12/9999,24001
3201,Langdorp,Aarschot,01/01/1900,31/12/9999,24001
3202,Rillaar,Aarschot,01/01/1900,31/12/9999,24001
3210,Linden,Lubbeek,01/01/1900,31/12/9999,24066
3210,Lubbeek,Lubbeek,01/01/1900,31/12/9999,24066
3211,Binkom,Lubbeek,01/01/1900,31/12/9999,24066
3212,Pellenberg,Lubbeek,01/01/1900,31/12/9999,24066
3220,Holsbeek,Holsbeek,01/01/1900,31/12/9999,24043
3220,Kortrijk-Dutsel,Holsbeek,01/01/1900,31/12/9999,24043
3220,Sint-Pieters-Rode,Holsbeek,01/01/1900,31/12/9999,24043
3221,Nieuwrode,Holsbeek,01/01/1900,31/12/9999,24043
3270,Scherpenheuvel,Scherpenheuvel-Zichem,01/01/1900,31/12/9999,24134
3270,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,01/01/1900,31/12/9999,24134
3271,Averbode,Scherpenheuvel-Zichem,01/01/1900,31/12/9999,24134
3271,Zichem,Scherpenheuvel-Zichem,01/01/1900,31/12/9999,24134
3272,Messelbroek,Scherpenheuvel-Zichem,01/01/1900,31/12/9999,24134
3272,Testelt,Scherpenheuvel-Zichem,01/01/1900,31/12/9999,24134
3290,Deurne (Vl.Br.),Diest,01/01/1900,31/12/9999,24020
3290,Diest,Diest,01/01/1900,31/12/9999,24020
3290,Schaffen,Diest,01/01/1900,31/12/9999,24020
3290,Webbekom,Diest,01/01/1900,31/12/9999,24020
3293,Kaggevinne,Diest,01/01/1900,31/12/9999,24020
3294,Molenstede,Diest,01/01/1900,31/12/9999,24020
3300,Bost,Tienen,01/01/1900,31/12/9999,24107
3300,Goetsenhoven,Tienen,01/01/1900,31/12/9999,24107
3300,Hakendover,Tienen,01/01/1900,31/12/9999,24107
3300,Kumtich,Tienen,01/01/1900,31/12/9999,24107
3300,Oorbeek,Tienen,01/01/1900,31/12/9999,24107
3300,Oplinter,Tienen,01/01/1900,31/12/9999,24107
3300,Sint-Margriete-Houtem (Tienen),Tienen,01/01/1900,31/12/9999,24107
3300,Tienen,Tienen,01/01/1900,31/12/9999,24107
3300,Vissenaken,Tienen,01/01/1900,31/12/9999,24107
3320,Hoegaarden,Hoegaarden,01/01/1900,31/12/9999,24041
3320,Meldert (Vl.Br.),Hoegaarden,01/01/1900,31/12/9999,24041
3321,Outgaarden,Hoegaarden,01/01/1900,31/12/9999,24041
3350,Drieslinter,Linter,01/01/1900,31/12/9999,24133
3350,Linter,Linter,01/01/1900,31/12/9999,24133
3350,Melkwezer,Linter,01/01/1900,31/12/9999,24133
3350,Neerhespen,Linter,01/01/1900,31/12/9999,24133
3350,Neerlinter,Linter,01/01/1900,31/12/9999,24133
3350,Orsmaal-Gussenhoven,Linter,01/01/1900,31/12/9999,24133
3350,Overhespen,Linter,01/01/1900,31/12/9999,24133
3350,Wommersom,Linter,01/01/1900,31/12/9999,24133
3360,Bierbeek,Bierbeek,01/01/1900,31/12/9999,24011
3360,Korbeek-Lo,Bierbeek,01/01/1900,31/12/9999,24011
3360,Lovenjoel,Bierbeek,01/01/1900,31/12/9999,24011
3360,Opvelp,Bierbeek,01/01/1900,31/12/9999,24011
3370,Boutersem,Boutersem,01/01/1900,31/12/9999,24016
3370,Kerkom,Boutersem,01/01/1900,31/12/9999,24016
3370,Neervelp,Boutersem,01/01/1900,31/12/9999,24016
3370,Roosbeek,Boutersem,01/01/1900,31/12/9999,24016
3370,Vertrijk,Boutersem,01/01/1900,31/12/9999,24016
3370,Willebringen,Boutersem,01/01/1900,31/12/9999,24016
3380,Bunsbeek,Glabbeek-Zuurbemde,01/01/1900,31/12/9999,24137
3380,Glabbeek-Zuurbemde,Glabbeek-Zuurbemde,01/01/1900,31/12/9999,24137
3381,Kapellen (Vl.Br.),Glabbeek-Zuurbemde,01/01/1900,31/12/9999,24137
3384,Attenrode,Glabbeek-Zuurbemde,01/01/1900,31/12/9999,24137
3390,Houwaart,Tielt-Winge,01/01/1900,31/12/9999,24135
3390,Sint-Joris-Winge,Tielt-Winge,01/01/1900,31/12/9999,24135
3390,Tielt-Winge,Tielt-Winge,01/01/1900,31/12/9999,24135
3390,Tielt (Vl.Br.),Tielt-Winge,01/01/1900,31/12/9999,24135
3391,Meensel-Kiezegem,Tielt-Winge,01/01/1900,31/12/9999,24135
3400,Eliksem,Landen,01/01/1900,31/12/9999,24059
3400,Ezemaal,Landen,01/01/1900,31/12/9999,24059
3400,Laar,Landen,01/01/1900,31/12/9999,24059
3400,Landen,Landen,01/01/1900,31/12/9999,24059
3400,Neerwinden,Landen,01/01/1900,31/12/9999,24059
3400,Overwinden,Landen,01/01/1900,31/12/9999,24059
3400,Rumsdorp,Landen,01/01/1900,31/12/9999,24059
3400,Wange,Landen,01/01/1900,31/12/9999,24059
3401,Waasmont,Landen,01/01/1900,31/12/9999,24059
3401,Walsbets,Landen,01/01/1900,31/12/9999,24059
3401,Walshoutem,Landen,01/01/1900,31/12/9999,24059
3401,Wezeren,Landen,01/01/1900,31/12/9999,24059
3404,Attenhoven,Landen,01/01/1900,31/12/9999,24059
3404,Neerlanden,Landen,01/01/1900,31/12/9999,24059
3440,Budingen,Zoutleeuw,01/01/1900,31/12/9999,24130
3440,Dormaal,Zoutleeuw,01/01/1900,31/12/9999,24130
3440,Halle-Booienhoven,Zoutleeuw,01/01/1900,31/12/9999,24130
3440,Helen-Bos,Zoutleeuw,01/01/1900,31/12/9999,24130
3440,Zoutleeuw,Zoutleeuw,01/01/1900,31/12/9999,24130
3450,Geetbets,Geetbets,01/01/1900,31/12/9999,24028
3450,Grazen,Geetbets,01/01/1900,31/12/9999,24028
3454,Rummen,Geetbets,01/01/1900,31/12/9999,24028
3460,Assent,Bekkevoort,01/01/1900,31/12/9999,24008
3460,Bekkevoort,Bekkevoort,01/01/1900,31/12/9999,24008
3461,Molenbeek-Wersbeek,Bekkevoort,01/01/1900,31/12/9999,24008
3470,Kortenaken,Kortenaken,01/01/1900,31/12/9999,24054
3470,Ransberg,Kortenaken,01/01/1900,31/12/9999,24054
3471,Hoeleden,Kortenaken,01/01/1900,31/12/9999,24054
3472,Kersbeek-Miskom,Kortenaken,01/01/1900,31/12/9999,24054
3473,Waanrode,Kortenaken,01/01/1900,31/12/9999,24054
3500,Hasselt,Hasselt,01/01/1900,31/12/9999,71022
3500,Sint-Lambrechts-Herk,Hasselt,01/01/1900,31/12/9999,71022
3501,Wimmertingen,Hasselt,01/01/1900,31/12/9999,71022
3510,Kermt (Hasselt),Hasselt,01/01/1900,31/12/9999,71022
3510,Spalbeek,Hasselt,01/01/1900,31/12/9999,71022
3511,Kuringen,Hasselt,01/01/1900,31/12/9999,71022
3511,Stokrooie,Hasselt,01/01/1900,31/12/9999,71022
3512,Stevoort,Hasselt,01/01/1900,31/12/9999,71022
3520,Zonhoven,Zonhoven,01/01/1900,31/12/9999,71066
3530,Helchteren,Houthalen-Helchteren,01/01/1900,31/12/9999,72039
3530,Houthalen,Houthalen-Helchteren,01/01/1900,31/12/9999,72039
3530,Houthalen-Helchteren,Houthalen-Helchteren,01/01/1900,31/12/9999,72039
3540,Berbroek,Herk-de-Stad,01/01/1900,31/12/9999,71024
3540,Donk,Herk-de-Stad,01/01/1900,31/12/9999,71024
3540,Herk-de-Stad,Herk-de-Stad,01/01/1900,31/12/9999,71024
3540,Schulen,Herk-de-Stad,01/01/1900,31/12/9999,71024
3545,Halen,Halen,01/01/1900,31/12/9999,71020
3545,Loksbergen,Halen,01/01/1900,31/12/9999,71020
3545,Zelem,Halen,01/01/1900,31/12/9999,71020
3550,Heusden-Zolder,Heusden-Zolder,01/01/1900,31/12/9999,71070
3550,Heusden (Limb.),Heusden-Zolder,01/01/1900,31/12/9999,71070
3550,Zolder,Heusden-Zolder,01/01/1900,31/12/9999,71070
3560,Linkhout,Lummen,01/01/1900,31/12/9999,71037
3560,Lummen,Lummen,01/01/1900,31/12/9999,71037
3560,Meldert (Limb.),Lummen,01/01/1900,31/12/9999,71037
3570,Alken,Alken,01/01/1900,31/12/9999,73001
3580,Beringen,Beringen,01/01/1900,31/12/9999,71004
3581,Beverlo,Beringen,01/01/1900,31/12/9999,71004
3582,Koersel,Beringen,01/01/1900,31/12/9999,71004
3583,Paal,Beringen,01/01/1900,31/12/9999,71004
3590,Diepenbeek,Diepenbeek,01/01/1900,31/12/9999,71011
3600,Genk,Genk,01/01/1900,31/12/9999,71016
3620,Gellik,Lanaken,01/01/1900,31/12/9999,73042
3620,Lanaken,Lanaken,01/01/1900,31/12/9999,73042
3620,Neerharen,Lanaken,01/01/1900,31/12/9999,73042
3620,Veldwezelt,Lanaken,01/01/1900,31/12/9999,73042
3621,Rekem,Lanaken,01/01/1900,31/12/9999,73042
3630,Eisden,Maasmechelen,01/01/1900,31/12/9999,73107
3630,Leut,Maasmechelen,01/01/1900,31/12/9999,73107
3630,Maasmechelen,Maasmechelen,01/01/1900,31/12/9999,73107
3630,Mechelen-aan-de-Maas,Maasmechelen,01/01/1900,31/12/9999,73107
3630,Meeswijk,Maasmechelen,01/01/1900,31/12/9999,73107
3630,Opgrimbie,Maasmechelen,01/01/1900,31/12/9999,73107
3630,Vucht,Maasmechelen,01/01/1900,31/12/9999,73107
3631,Boorsem,Maasmechelen,01/01/1900,31/12/9999,73107
3631,Uikhoven,Maasmechelen,01/01/1900,31/12/9999,73107
3640,Kessenich,Kinrooi,01/01/1900,31/12/9999,72018
3640,Kinrooi,Kinrooi,01/01/1900,31/12/9999,72018
3640,Molenbeersel,Kinrooi,01/01/1900,31/12/9999,72018
3640,Ophoven,Kinrooi,01/01/1900,31/12/9999,72018
3650,Dilsen-Stokkem,Dilsen-Stokkem,01/01/1900,31/12/9999,72041
3650,Elen,Dilsen-Stokkem,01/01/1900,31/12/9999,72041
3650,Lanklaar,Dilsen-Stokkem,01/01/1900,31/12/9999,72041
3650,Rotem,Dilsen-Stokkem,01/01/1900,31/12/9999,72041
3650,Stokkem,Dilsen-Stokkem,01/01/1900,31/12/9999,72041
3660,Opglabbeek,Opglabbeek,01/01/1900,31/12/9999,71047
3665,As,As,01/01/1900,31/12/9999,71002
3668,Niel-bij-As,As,01/01/1900,31/12/9999,71002
3670,Ellikom,Meeuwen-Gruitrode,01/01/1900,31/12/9999,72040
3670,Gruitrode,Meeuwen-Gruitrode,01/01/1900,31/12/9999,72040
3670,Meeuwen,Meeuwen-Gruitrode,01/01/1900,31/12/9999,72040
3670,Meeuwen-Gruitrode,Meeuwen-Gruitrode,01/01/1900,31/12/9999,72040
3670,Neerglabbeek,Meeuwen-Gruitrode,01/01/1900,31/12/9999,72040
3670,Wijshagen,Meeuwen-Gruitrode,01/01/1900,31/12/9999,72040
3680,Maaseik,Maaseik,01/01/1900,31/12/9999,72021
3680,Neeroeteren,Maaseik,01/01/1900,31/12/9999,72021
3680,Opoeteren,Maaseik,01/01/1900,31/12/9999,72021
3690,Zutendaal,Zutendaal,01/01/1900,31/12/9999,71067
3700,'s Herenelderen,Tongeren,01/01/1900,31/12/9999,73083
3700,Berg (Limb.),Tongeren,01/01/1900,31/12/9999,73083
3700,Diets-Heur,Tongeren,01/01/1900,31/12/9999,73083
3700,Haren (Tongeren),Tongeren,01/01/1900,31/12/9999,73083
3700,Henis,Tongeren,01/01/1900,31/12/9999,73083
3700,Kolmont (Tongeren),Tongeren,01/01/1900,31/12/9999,73083
3700,Koninksem,Tongeren,01/01/1900,31/12/9999,73083
3700,Lauw,Tongeren,01/01/1900,31/12/9999,73083
3700,Mal,Tongeren,01/01/1900,31/12/9999,73083
3700,Neerrepen,Tongeren,01/01/1900,31/12/9999,73083
3700,Nerem,Tongeren,01/01/1900,31/12/9999,73083
3700,Overrepen (Kolmont),Tongeren,01/01/1900,31/12/9999,73083
3700,Piringen (Haren),Tongeren,01/01/1900,31/12/9999,73083
3700,Riksingen,Tongeren,01/01/1900,31/12/9999,73083
3700,Rutten,Tongeren,01/01/1900,31/12/9999,73083
3700,Sluizen,Tongeren,01/01/1900,31/12/9999,73083
3700,Tongeren,Tongeren,01/01/1900,31/12/9999,73083
3700,Vreren,Tongeren,01/01/1900,31/12/9999,73083
3700,Widooie (Haren),Tongeren,01/01/1900,31/12/9999,73083
3717,Herstappe,Herstappe,01/01/1900,31/12/9999,73028
3720,Kortessem,Kortessem,01/01/1900,31/12/9999,73040
3721,Vliermaalroot,Kortessem,01/01/1900,31/12/9999,73040
3722,Wintershoven,Kortessem,01/01/1900,31/12/9999,73040
3723,Guigoven,Kortessem,01/01/1900,31/12/9999,73040
3724,Vliermaal,Kortessem,01/01/1900,31/12/9999,73040
3730,Hoeselt,Hoeselt,01/01/1900,31/12/9999,73032
3730,Romershoven,Hoeselt,01/01/1900,31/12/9999,73032
3730,Sint-Huibrechts-Hern,Hoeselt,01/01/1900,31/12/9999,73032
3730,Werm,Hoeselt,01/01/1900,31/12/9999,73032
3732,Schalkhoven,Hoeselt,01/01/1900,31/12/9999,73032
3740,Beverst,Bilzen,01/01/1900,31/12/9999,73006
3740,Bilzen,Bilzen,01/01/1900,31/12/9999,73006
3740,Eigenbilzen,Bilzen,01/01/1900,31/12/9999,73006
3740,Grote-Spouwen,Bilzen,01/01/1900,31/12/9999,73006
3740,Hees,Bilzen,01/01/1900,31/12/9999,73006
3740,Kleine-Spouwen,Bilzen,01/01/1900,31/12/9999,73006
3740,Mopertingen,Bilzen,01/01/1900,31/12/9999,73006
3740,Munsterbilzen,Bilzen,01/01/1900,31/12/9999,73006
3740,Rijkhoven,Bilzen,01/01/1900,31/12/9999,73006
3740,Rosmeer,Bilzen,01/01/1900,31/12/9999,73006
3740,Spouwen,Bilzen,01/01/1900,31/12/9999,73006
3740,Waltwilder,Bilzen,01/01/1900,31/12/9999,73006
3742,Martenslinde,Bilzen,01/01/1900,31/12/9999,73006
3746,Hoelbeek,Bilzen,01/01/1900,31/12/9999,73006
3770,Genoelselderen,Riemst,01/01/1900,31/12/9999,73066
3770,Herderen,Riemst,01/01/1900,31/12/9999,73066
3770,Kanne,Riemst,01/01/1900,31/12/9999,73066
3770,Membruggen,Riemst,01/01/1900,31/12/9999,73066
3770,Millen,Riemst,01/01/1900,31/12/9999,73066
3770,Riemst,Riemst,01/01/1900,31/12/9999,73066
3770,Val-Meer,Riemst,01/01/1900,31/12/9999,73066
3770,Vlijtingen,Riemst,01/01/1900,31/12/9999,73066
3770,Vroenhoven,Riemst,01/01/1900,31/12/9999,73066
3770,Zichen-Zussen-Bolder,Riemst,01/01/1900,31/12/9999,73066
3790,Moelingen,Voeren,01/01/1900,31/12/9999,73109
3790,Sint-Martens-Voeren,Voeren,01/01/1900,31/12/9999,73109
3790,Voeren,Voeren,01/01/1900,31/12/9999,73109
3791,Remersdaal,Voeren,01/01/1900,31/12/9999,73109
3792,Sint-Pieters-Voeren,Voeren,01/01/1900,31/12/9999,73109
3793,Teuven,Voeren,01/01/1900,31/12/9999,73109
3798,s Gravenvoeren,Voeren,01/01/1900,31/12/9999,73109
3800,Aalst (Limb.),Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Brustem,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Engelmanshoven,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Gelinden,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Groot-Gelmen,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Halmaal,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Kerkom-bij-Sint-Truiden,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Ordingen,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Sint-Truiden,Sint-Truiden,01/01/1900,31/12/9999,71053
3800,Zepperen,Sint-Truiden,01/01/1900,31/12/9999,71053
3803,Duras,Sint-Truiden,01/01/1900,31/12/9999,71053
3803,Gorsem,Sint-Truiden,01/01/1900,31/12/9999,71053
3803,Runkelen,Sint-Truiden,01/01/1900,31/12/9999,71053
3803,Wilderen,Sint-Truiden,01/01/1900,31/12/9999,71053
3806,Velm,Sint-Truiden,01/01/1900,31/12/9999,71053
3830,Berlingen,Wellen,01/01/1900,31/12/9999,73098
3830,Wellen,Wellen,01/01/1900,31/12/9999,73098
3831,Herten,Wellen,01/01/1900,31/12/9999,73098
3832,Ulbeek,Wellen,01/01/1900,31/12/9999,73098
3840,Bommershoven (Haren),Borgloon,01/01/1900,31/12/9999,73009
3840,Borgloon,Borgloon,01/01/1900,31/12/9999,73009
3840,Broekom,Borgloon,01/01/1900,31/12/9999,73009
3840,Gors-Opleeuw,Borgloon,01/01/1900,31/12/9999,73009
3840,Gotem,Borgloon,01/01/1900,31/12/9999,73009
3840,Groot-Loon,Borgloon,01/01/1900,31/12/9999,73009
3840,Haren (Borgloon),Borgloon,01/01/1900,31/12/9999,73009
3840,Hendrieken,Borgloon,01/01/1900,31/12/9999,73009
3840,Hoepertingen,Borgloon,01/01/1900,31/12/9999,73009
3840,Jesseren (Kolmont),Borgloon,01/01/1900,31/12/9999,73009
3840,Kerniel,Borgloon,01/01/1900,31/12/9999,73009
3840,Kolmont (Borgloon),Borgloon,01/01/1900,31/12/9999,73009
3840,Kuttekoven,Borgloon,01/01/1900,31/12/9999,73009
3840,Rijkel,Borgloon,01/01/1900,31/12/9999,73009
3840,Voort,Borgloon,01/01/1900,31/12/9999,73009
3850,Binderveld,Nieuwerkerken (Limb.),01/01/1900,31/12/9999,71045
3850,Kozen,Nieuwerkerken (Limb.),01/01/1900,31/12/9999,71045
3850,Nieuwerkerken (Limb.),Nieuwerkerken (Limb.),01/01/1900,31/12/9999,71045
3850,Wijer,Nieuwerkerken (Limb.),01/01/1900,31/12/9999,71045
3870,Batsheers,Heers,01/01/1900,31/12/9999,73022
3870,Bovelingen,Heers,01/01/1900,31/12/9999,73022
3870,Gutschoven,Heers,01/01/1900,31/12/9999,73022
3870,Heers,Heers,01/01/1900,31/12/9999,73022
3870,Heks,Heers,01/01/1900,31/12/9999,73022
3870,Horpmaal,Heers,01/01/1900,31/12/9999,73022
3870,Klein-Gelmen,Heers,01/01/1900,31/12/9999,73022
3870,Mechelen-Bovelingen,Heers,01/01/1900,31/12/9999,73022
3870,Mettekoven,Heers,01/01/1900,31/12/9999,73022
3870,Opheers,Heers,01/01/1900,31/12/9999,73022
3870,Rukkelingen-Loon,Heers,01/01/1900,31/12/9999,73022
3870,Vechmaal,Heers,01/01/1900,31/12/9999,73022
3870,Veulen,Heers,01/01/1900,31/12/9999,73022
3890,Boekhout,Gingelom,01/01/1900,31/12/9999,71017
3890,Gingelom,Gingelom,01/01/1900,31/12/9999,71017
3890,Jeuk,Gingelom,01/01/1900,31/12/9999,71017
3890,Kortijs,Gingelom,01/01/1900,31/12/9999,71017
3890,Montenaken,Gingelom,01/01/1900,31/12/9999,71017
3890,Niel-bij-Sint-Truiden,Gingelom,01/01/1900,31/12/9999,71017
3890,Vorsen,Gingelom,01/01/1900,31/12/9999,71017
3891,Borlo,Gingelom,01/01/1900,31/12/9999,71017
3891,Buvingen,Gingelom,01/01/1900,31/12/9999,71017
3891,Mielen-Boven-Aalst,Gingelom,01/01/1900,31/12/9999,71017
3891,Muizen (Limb.),Gingelom,01/01/1900,31/12/9999,71017
3900,Overpelt,Overpelt,01/01/1900,31/12/9999,72029
3910,Neerpelt,Neerpelt,01/01/1900,31/12/9999,72025
3910,Sint-Huibrechts-Lille,Neerpelt,01/01/1900,31/12/9999,72025
3920,Lommel,Lommel,01/01/1900,31/12/9999,72020
3930,Achel,Hamont-Achel,01/01/1900,31/12/9999,72037
3930,Hamont,Hamont-Achel,01/01/1900,31/12/9999,72037
3930,Hamont-Achel,Hamont-Achel,01/01/1900,31/12/9999,72037
3940,Hechtel,Hechtel-Eksel,01/01/1900,31/12/9999,72038
3940,Hechtel-Eksel,Hechtel-Eksel,01/01/1900,31/12/9999,72038
3941,Eksel,Hechtel-Eksel,01/01/1900,31/12/9999,72038
3945,Ham,Ham,01/01/1900,31/12/9999,71069
3945,Kwaadmechelen,Ham,01/01/1900,31/12/9999,71069
3945,Oostham,Ham,01/01/1900,31/12/9999,71069
3950,Bocholt,Bocholt,01/01/1900,31/12/9999,72003
3950,Kaulille,Bocholt,01/01/1900,31/12/9999,72003
3950,Reppel,Bocholt,01/01/1900,31/12/9999,72003
3960,Beek,Bree,01/01/1900,31/12/9999,72004
3960,Bree,Bree,01/01/1900,31/12/9999,72004
3960,Gerdingen,Bree,01/01/1900,31/12/9999,72004
3960,Opitter,Bree,01/01/1900,31/12/9999,72004
