Postcode,Gemeente,Hoofdgemeente,Begindatum geldigheid,Einddatum geldigheid,INS Code
1332,Genval,Rixensart,01/01/1900,31/12/9999,25091
1340,Ottignies-Louvain-la-Neuve,"Ottignies-Louvain-la-
Neuve",01/01/1900,31/12/9999,25121
1340,Ottignies,"Ottignies-Louvain-la-
Neuve",01/01/1900,31/12/9999,25121
1341,Céroux-Mousty,"Ottignies-Louvain-la-
Neuve",01/01/1900,31/12/9999,25121
1342,Limelette,"Ottignies-Louvain-la-
Neuve",01/01/1900,31/12/9999,25121
1348,Louvain-la-Neuve,"Ottignies-Louvain-la-
Neuve",01/01/1900,31/12/9999,25121
1348,Mont-Saint-Guibert,"Ottignies-Louvain-la-
Neuve",01/01/1900,31/12/2008,25121
1348,Site Universitaire,"Ottignies-Louvain-la-
Neuve",01/01/1900,31/12/9999,25121
1350,Enines,Orp-Jauche,01/01/1900,31/12/9999,25120
1350,Folx-lesCaves,Orp-Jauche,01/01/1900,31/12/9999,25120
1350,Jandrain-Jandrenouille,Orp-Jauche,01/01/1900,31/12/9999,25120
1350,Jauche,Orp-Jauche,01/01/1900,31/12/9999,25120
1350,Marilles,Orp-Jauche,01/01/1900,31/12/9999,25120
1350,Noduwez,Orp-Jauche,01/01/1900,31/12/9999,25120
1350,Orp-Jauche,Orp-Jauche,01/01/1900,31/12/9999,25120
1350,Orp-le-Grand,Orp-Jauche,01/01/1900,31/12/9999,25120
1357,Hélécine,Hélécine,01/01/1900,31/12/9999,25118
1357,Linsmeau,Hélécine,01/01/1900,31/12/9999,25118
1357,Neerheylissem,Hélécine,01/01/1900,31/12/9999,25118
1357,Opheylissem,Hélécine,01/01/1900,31/12/9999,25118
1360,Malèves-Sainte-Marie-Wastines,Perwijs,01/01/1900,31/12/9999,25084
1360,Orbais,Perwijs,01/01/1900,31/12/9999,25084
1360,Perwijs,Perwijs,01/01/1900,31/12/9999,25084
1360,Thorembais-les-Béguines,Perwijs,01/01/1900,31/12/9999,25084
1360,Thorembais-Saint-Trond,Perwijs,01/01/1900,31/12/9999,25084
1367,Autre-Eglise,Ramillies,01/01/1900,31/12/9999,25122
1367,Bomal (Br.W.),Ramillies,01/01/1900,31/12/9999,25122
1367,Geest-Gérompont-Petit-Rosière,Ramillies,01/01/1900,31/12/9999,25122
1367,Gérompont,Ramillies,01/01/1900,31/12/9999,25122
1367,Grand-Rosière-Hottomont,Ramillies,01/01/1900,31/12/9999,25122
1367,Huppaye,Ramillies,01/01/1900,31/12/9999,25122
1367,Mont-Saint-André,Ramillies,01/01/1900,31/12/9999,25122
1367,Ramilies,Ramillies,01/01/1900,31/12/2008,25122
1367,Ramillies,Ramillies,01/01/1900,31/12/9999,25122
1367,Ramillies-Offus,Ramillies,01/01/1900,31/12/2008,25122
1370,Dongelberg,Geldenaken,01/01/1900,31/12/9999,25048
1370,Geldenaken,Geldenaken,01/01/1900,31/12/9999,25048
1370,Jauchelette,Geldenaken,01/01/1900,31/12/9999,25048
1370,Jodoigne-Souveraine,Geldenaken,01/01/1900,31/12/9999,25048
1370,Lathuy,Geldenaken,01/01/1900,31/12/9999,25048
1370,Mélin,Geldenaken,01/01/1900,31/12/9999,25048
1370,Piétrain,Geldenaken,01/01/1900,31/12/9999,25048
1370,Saint-Jean-Geest,Geldenaken,01/01/1900,31/12/9999,25048
1370,Saint-Remy-Geest,Geldenaken,01/01/1900,31/12/9999,25048
1370,Zétrud-Lumay,Geldenaken,01/01/1900,31/12/9999,25048
1380,Couture-Saint-Germain,Lasne,01/01/1900,31/12/9999,25119
1380,Lasne,Lasne,01/01/1900,31/12/9999,25119
1380,Lasne-Chapelle-Saint-Lambert,Lasne,01/01/1900,31/12/9999,25119
1380,Maransart,Lasne,01/01/1900,31/12/9999,25119
1380,Ohain,Lasne,01/01/1900,31/12/9999,25119
1380,Plancenoit,Lasne,01/01/1900,31/12/9999,25119
1390,Archennes,Graven,01/01/1900,31/12/9999,25037
1390,Biez,Graven,01/01/1900,31/12/9999,25037
1390,Bossut-Gottechain,Graven,01/01/1900,31/12/9999,25037
1390,Graven,Graven,01/01/1900,31/12/9999,25037
1390,Nethen,Graven,01/01/1900,31/12/9999,25037
1400,Monstreux,Nijvel,01/01/1900,31/12/9999,25072
1400,Nijvel,Nijvel,01/01/1900,31/12/9999,25072
1400,Petit-Roeulx-lez-Nivelles,Nijvel,01/01/1900,31/12/2008,25072
1401,Baulers,Nijvel,01/01/1900,31/12/9999,25072
1402,Thines,Nijvel,01/01/1900,31/12/9999,25072
1404,Bornival,Nijvel,01/01/1900,31/12/9999,25072
1410,Waterloo,Waterloo,01/01/1900,31/12/9999,25110
1414,Waterloo Promo-Control,Waterloo,01/01/1900,31/12/9999,
1420,Eigenbrakel,Eigenbrakel,01/01/1900,31/12/9999,25014
1421,Ophain-Bois-Seigneur-Isaac,Eigenbrakel,01/01/1900,31/12/9999,25014
1428,Lillois-Witterzée,Eigenbrakel,01/01/1900,31/12/9999,25014
1430,Bierghes,Rebecq,01/01/1900,31/12/9999,25123
1430,Quenast,Rebecq,01/01/1900,31/12/9999,25123
1430,Rebecq,Rebecq,01/01/1900,31/12/9999,25123
1430,Rebecq-Rognon,Rebecq,01/01/1900,31/12/9999,25123
1435,Corbais,Mont-Saint-Guibert,01/01/1900,31/12/9999,25068
1435,Hévillers,Mont-Saint-Guibert,01/01/1900,31/12/9999,25068
1435,Mont-Saint-Guibert,Mont-Saint-Guibert,01/01/1900,31/12/9999,25068
1440,Kasteelbrakel,Kasteelbrakel,01/01/1900,31/12/9999,25015
1440,Wauthier-Braine,Kasteelbrakel,01/01/1900,31/12/9999,25015
1450,Chastre,Chastre,01/01/1900,31/12/9999,25117
1450,Chastre-Villeroux-Blanmont,Chastre,01/01/1900,31/12/9999,25117
1450,Cortil-Noirmont,Chastre,01/01/1900,31/12/9999,25117
1450,Gentinnes,Chastre,01/01/1900,31/12/9999,25117
1450,Saint-Géry,Chastre,01/01/1900,31/12/9999,25117
1457,Nil-Saint-Vincent-Saint-Martin,Walhain,01/01/1900,31/12/9999,25124
1457,Tourinnes-Saint-Lambert,Walhain,01/01/1900,31/12/9999,25124
1457,Walhain,Walhain,01/01/1900,31/12/9999,25124
1457,Walhain-Saint-Paul,Walhain,01/01/1900,31/12/9999,25124
1460,Itter,Itter,01/01/1900,31/12/9999,25044
1460,Virginal-Samme,Itter,01/01/1900,31/12/9999,25044
1461,Haut-Ittre,Itter,01/01/1900,31/12/9999,25044
1470,Baisy-Thy,Genepiën,01/01/1900,31/12/9999,25031
1470,Bousval,Genepiën,01/01/1900,31/12/9999,25031
1470,Genepiën,Genepiën,01/01/1900,31/12/9999,25031
1471,Loupoigne,Genepiën,01/01/1900,31/12/9999,25031
1472,Vieux-Genappe,Genepiën,01/01/1900,31/12/9999,25031
1473,Glabais,Genepiën,01/01/1900,31/12/9999,25031
1474,Ways,Genepiën,01/01/1900,31/12/9999,25031
1476,Houtain-le-Val,Genepiën,01/01/1900,31/12/9999,25031
1480,Clabecq,Tubeke,01/01/1900,31/12/9999,25105
1480,Oisquercq,Tubeke,01/01/1900,31/12/9999,25105
1480,Saintes,Tubeke,01/01/1900,31/12/9999,25105
1480,Tubeke,Tubeke,01/01/1900,31/12/9999,25105
1490,Court-Saint-Etienne,Court-Saint-Etienne,01/01/1900,31/12/9999,25023
1495,Marbais (Br.W.),Villers-la-Ville,01/01/1900,31/12/9999,25107
1495,Mellery,Villers-la-Ville,01/01/1900,31/12/9999,25107
1495,Sart-Dames-Avelines,Villers-la-Ville,01/01/1900,31/12/9999,25107
1495,Tilly,Villers-la-Ville,01/01/1900,31/12/9999,25107
1495,Villers-la-Ville,Villers-la-Ville,01/01/1900,31/12/9999,25107
1500,Halle,Halle,01/01/1900,31/12/9999,23027
1501,Buizingen,Halle,01/01/1900,31/12/9999,23027
1502,Lembeek,Halle,01/01/1900,31/12/9999,23027
1540,Herfelingen,Herne,01/01/1900,31/12/9999,23032
1540,Herne,Herne,01/01/1900,31/12/9999,23032
1541,Sint-Pieters-Kapelle (Vl.Br.),Herne,01/01/1900,31/12/9999,23032
1547,Bever,Bever,01/01/1900,31/12/9999,23009
1560,Hoeilaart,Hoeilaart,01/01/1900,31/12/9999,23033
1570,Galmaarden,Galmaarden,01/01/1900,31/12/9999,23023
1570,Tollembeek,Galmaarden,01/01/1900,31/12/9999,23023
1570,Vollezele,Galmaarden,01/01/1900,31/12/9999,23023
1600,Oudenaken,Sint-Pieters-Leeuw,01/01/1900,31/12/9999,23077
1600,Sint-Laureins-Berchem,Sint-Pieters-Leeuw,01/01/1900,31/12/9999,23077
1600,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,01/01/1900,31/12/9999,23077
1601,Ruisbroek (Vl.Br.),Sint-Pieters-Leeuw,01/01/1900,31/12/9999,23077
1602,Vlezenbeek,Sint-Pieters-Leeuw,01/01/1900,31/12/9999,23077
1620,Drogenbos,Drogenbos,01/01/1900,31/12/9999,23098
1630,Linkebeek,Linkebeek,01/01/1900,31/12/9999,23100
1640,Sint-Genesius-Rode,Sint-Genesius-Rode,01/01/1900,31/12/9999,23101
1650,Beersel,Beersel,01/01/1900,31/12/9999,23003
1651,Lot,Beersel,01/01/1900,31/12/9999,23003
1652,Alsemberg,Beersel,01/01/1900,31/12/9999,23003
1653,Dworp,Beersel,01/01/1900,31/12/9999,23003
1654,Huizingen,Beersel,01/01/1900,31/12/9999,23003
1670,Bogaarden,Pepingen,01/01/1900,31/12/9999,23064
1670,Heikruis,Pepingen,01/01/1900,31/12/9999,23064
1670,Pepingen,Pepingen,01/01/1900,31/12/9999,23064
1671,Elingen,Pepingen,01/01/1900,31/12/9999,23064
1673,Beert,Pepingen,01/01/1900,31/12/9999,23064
1674,Bellingen,Pepingen,01/01/1900,31/12/9999,23064
1700,Dilbeek,Dilbeek,01/01/1900,31/12/9999,23016
1700,Sint-Martens-Bodegem,Dilbeek,01/01/1900,31/12/9999,23016
1700,Sint-Ulriks-Kapelle,Dilbeek,01/01/1900,31/12/9999,23016
1701,Itterbeek,Dilbeek,01/01/1900,31/12/9999,23016
1702,Groot-Bijgaarden,Dilbeek,01/01/1900,31/12/9999,23016
1703,Schepdaal,Dilbeek,01/01/1900,31/12/9999,23016
1730,Asse,Asse,01/01/1900,31/12/9999,23002
1730,Bekkerzeel,Asse,01/01/1900,31/12/9999,23002
1730,Kobbegem,Asse,01/01/1900,31/12/9999,23002
1730,Mollem,Asse,01/01/1900,31/12/9999,23002
1731,Relegem,Asse,01/01/1900,31/12/9999,23002
1731,Zellik,Asse,01/01/1900,31/12/9999,23002
1740,Ternat,Ternat,01/01/1900,31/12/9999,23086
1741,Wambeek,Ternat,01/01/1900,31/12/9999,23086
1742,Sint-Katherina-Lombeek,Ternat,01/01/1900,31/12/9999,23086
1745,Mazenzele,Opwijk,01/01/1900,31/12/9999,23060
1745,Opwijk,Opwijk,01/01/1900,31/12/9999,23060
1750,Gaasbeek,Lennik,01/01/1900,31/12/9999,23104
1750,Lennik,Lennik,01/01/1900,31/12/9999,23104
1750,Sint-Kwintens-Lennik,Lennik,01/01/1900,31/12/9999,23104
1750,Sint-Martens-Lennik,Lennik,01/01/1900,31/12/9999,23104
1755,Gooik,Gooik,01/01/1900,31/12/9999,23024
1755,Kester,Gooik,01/01/1900,31/12/9999,23024
1755,Leerbeek,Gooik,01/01/1900,31/12/9999,23024
1755,Oetingen,Gooik,01/01/1900,31/12/9999,23024
1760,Onze-Lieve-Vrouw-Lombeek,Roosdaal,01/01/1900,31/12/9999,23097
1760,Pamel,Roosdaal,01/01/1900,31/12/9999,23097
1760,Roosdaal,Roosdaal,01/01/1900,31/12/9999,23097
1760,Strijtem,Roosdaal,01/01/1900,31/12/9999,23097
1761,Borchtlombeek,Roosdaal,01/01/1900,31/12/9999,23097
1770,Liedekerke,Liedekerke,01/01/1900,31/12/9999,23044
1780,Wemmel,Wemmel,01/01/1900,31/12/9999,23102
1785,Brussegem,Merchtem,01/01/1900,31/12/9999,23052
1785,Hamme (Vl.Br.),Merchtem,01/01/1900,31/12/9999,23052
1785,Merchtem,Merchtem,01/01/1900,31/12/9999,23052
1790,Affligem,Affligem,01/01/1900,31/12/9999,23105
1790,Essene,Affligem,01/01/1900,31/12/9999,23105
1790,Hekelgem,Affligem,01/01/1900,31/12/9999,23105
1790,Teralfene,Affligem,01/01/1900,31/12/9999,23105
1800,Peutie,Vilvoorde,01/01/1900,31/12/9999,23088
1800,Vilvoorde,Vilvoorde,01/01/1900,31/12/9999,23088
1804,Vilvoorde Cargovil,Vilvoorde,01/01/1900,31/12/9999,23096
1818,Vilvoorde VTM,Vilvoorde,01/01/1900,31/12/9999,
1820,Melsbroek,Steenokkerzeel,01/01/1900,31/12/9999,23081
1820,Perk,Steenokkerzeel,01/01/1900,31/12/9999,23081
1820,Steenokkerzeel,Steenokkerzeel,01/01/1900,31/12/9999,23081
1830,Machelen (Vl.Br.),Machelen (Vl.Br.),01/01/1900,31/12/9999,23047
1831,Diegem,Machelen (Vl.Br.),01/01/1900,31/12/9999,23047
1840,Londerzeel,Londerzeel,01/01/1900,31/12/9999,23045
1840,Malderen,Londerzeel,01/01/1900,31/12/9999,23045
1840,Steenhuffel,Londerzeel,01/01/1900,31/12/9999,23045
1850,Grimbergen,Grimbergen,01/01/1900,31/12/9999,23025
1851,Humbeek,Grimbergen,01/01/1900,31/12/9999,23025
1852,Beigem,Grimbergen,01/01/1900,31/12/9999,23025
1853,Strombeek-Bever,Grimbergen,01/01/1900,31/12/9999,23025
1860,Meise,Meise,01/01/1900,31/12/9999,23050
1861,Wolvertem,Meise,01/01/1900,31/12/9999,23050
1880,Kapelle-op-den-Bos,Kapelle-op-den-Bos,01/01/1900,31/12/9999,23039
1880,Nieuwenrode,Kapelle-op-den-Bos,01/01/1900,31/12/9999,23039
1880,Ramsdonk,Kapelle-op-den-Bos,01/01/1900,31/12/9999,23039
1910,Berg (Vl.Br.),Kampenhout,01/01/1900,31/12/9999,23038
1910,Buken,Kampenhout,01/01/1900,31/12/9999,23038
1910,Kampenhout,Kampenhout,01/01/1900,31/12/9999,23038
1910,Nederokkerzeel,Kampenhout,01/01/1900,31/12/9999,23038
1930,Nossegem,Zaventem,01/01/1900,31/12/9999,23094
1930,Zaventem,Zaventem,01/01/1900,31/12/9999,23094
1931,Brucargo,,01/01/1900,31/12/9999,23094
1932,Sint-Stevens-Woluwe,Zaventem,01/01/1900,31/12/9999,23094
1933,Sterrebeek,Zaventem,01/01/1900,31/12/9999,23094
1934,Brussel - Luchthaven Remailing,,01/01/1900,31/12/9999,
1935,Corporate Village,,01/01/1900,31/12/9999,
1950,Kraainem,Kraainem,01/01/1900,31/12/9999,23099
1970,Wezembeek-Oppem,Wezembeek-Oppem,01/01/1900,31/12/9999,23103
1980,Eppegem,Zemst,01/01/1900,31/12/9999,23096
1980,Zemst,Zemst,01/01/1900,31/12/9999,23096
1981,Hofstade (Vl.Br.),Zemst,01/01/1900,31/12/9999,23096
1982,Elewijt,Zemst,01/01/1900,31/12/9999,23096
1982,Weerde,Zemst,01/01/1900,31/12/9999,23096
2000,Antwerpen,Antwerpen,01/01/1900,31/12/9999,11002
2018,Antwerpen,Antwerpen,01/01/1900,31/12/9999,11002
2020,Antwerpen,Antwerpen,01/01/1900,31/12/9999,11002
2030,Antwerpen,Antwerpen,01/01/1900,31/12/9999,11002
2040,Antwerpen,Antwerpen,01/01/1900,31/12/9999,11002
2040,Berendrecht,Antwerpen,01/01/1900,31/12/9999,11002
2040,Lillo,Antwerpen,01/01/1900,31/12/9999,11002
2040,Zandvliet,Antwerpen,01/01/1900,31/12/9999,11002
2050,Antwerpen,Antwerpen,01/01/1900,31/12/9999,11002
2060,Antwerpen,Antwerpen,01/01/1900,31/12/9999,11002
2070,Burcht,Zwijndrecht,01/01/1900,31/12/9999,11056
2070,Zwijndrecht,Zwijndrecht,01/01/1900,31/12/9999,11056
2100,Deurne (Antwerpen),Antwerpen,01/01/1900,31/12/9999,11002
2110,Wijnegem,Wijnegem,01/01/1900,31/12/9999,11050
2140,Borgerhout (Antwerpen),Antwerpen,01/01/1900,31/12/9999,11002
2150,Borsbeek (Antw.),Borsbeek (Antw.),01/01/1900,31/12/9999,11007
2160,Wommelgem,Wommelgem,01/01/1900,31/12/9999,11052
2170,Merksem (Antwerpen),Antwerpen,01/01/1900,31/12/9999,11002
2180,Ekeren (Antwerpen),Antwerpen,01/01/1900,31/12/9999,11002
2200,Herentals,Herentals,01/01/1900,31/12/9999,13011
2200,Morkhoven,Herentals,01/01/1900,31/12/9999,13011
2200,Noorderwijk,Herentals,01/01/1900,31/12/9999,13011
2220,Hallaar,Heist-op-den-Berg,01/01/1900,31/12/9999,12014
2220,Heist-op-den-Berg,Heist-op-den-Berg,01/01/1900,31/12/9999,12014
2221,Booischot,Heist-op-den-Berg,01/01/1900,31/12/9999,12014
2222,Itegem,Heist-op-den-Berg,01/01/1900,31/12/9999,12014
2222,Wiekevorst,Heist-op-den-Berg,01/01/1900,31/12/9999,12014
2223,Schriek,Heist-op-den-Berg,01/01/1900,31/12/9999,12014
2230,Herselt,Herselt,01/01/1900,31/12/9999,13013
2230,Ramsel,Herselt,01/01/1900,31/12/9999,13013
2235,Houtvenne,Hulshout,01/01/1900,31/12/9999,13016
2235,Hulshout,Hulshout,01/01/1900,31/12/9999,13016
2235,Westmeerbeek,Hulshout,01/01/1900,31/12/9999,13016
2240,Massenhoven,Zandhoven,01/01/1900,31/12/9999,11054
2240,Viersel,Zandhoven,01/01/1900,31/12/9999,11054
2240,Zandhoven,Zandhoven,01/01/1900,31/12/9999,11054
2242,Pulderbos,Zandhoven,01/01/1900,31/12/9999,11054
2243,Pulle,Zandhoven,01/01/1900,31/12/9999,11054
2250,Olen,Olen,01/01/1900,31/12/9999,13029
2260,Oevel,Westerlo,01/01/1900,31/12/9999,13049
2260,Tongerlo (Antw.),Westerlo,01/01/1900,31/12/9999,13049
2260,Westerlo,Westerlo,01/01/1900,31/12/9999,13049
2260,Zoerle-Parwijs,Westerlo,01/01/1900,31/12/9999,13049
2270,Herenthout,Herenthout,01/01/1900,31/12/9999,13012
2275,Gierle,Lille,01/01/1900,31/12/9999,13019
2275,Lille,Lille,01/01/1900,31/12/9999,13019
2275,Poederlee,Lille,01/01/1900,31/12/9999,13019
2275,Wechelderzande,Lille,01/01/1900,31/12/9999,13019
2280,Grobbendonk,Grobbendonk,01/01/1900,31/12/9999,13010
2288,Bouwel,Grobbendonk,01/01/1900,31/12/9999,13010
2290,Vorselaar,Vorselaar,01/01/1900,31/12/9999,13044
2300,Turnhout,Turnhout,01/01/1900,31/12/9999,13040
2310,Rijkevorsel,Rijkevorsel,01/01/1900,31/12/9999,13037
2320,Hoogstraten,Hoogstraten,01/01/1900,31/12/9999,13014
2321,Meer,Hoogstraten,01/01/1900,31/12/9999,13014
2322,Minderhout,Hoogstraten,01/01/1900,31/12/9999,13014
2323,Wortel,Hoogstraten,01/01/1900,31/12/9999,13014
2328,Meerle,Hoogstraten,01/01/1900,31/12/9999,13014
2330,Merksplas,Merksplas,01/01/1900,31/12/9999,13023
2340,Beerse,Beerse,01/01/1900,31/12/9999,13004
2340,Vlimmeren,Beerse,01/01/1900,31/12/9999,13004
2350,Vosselaar,Vosselaar,01/01/1900,31/12/9999,13046
2360,Oud-Turnhout,Oud-Turnhout,01/01/1900,31/12/9999,13031
2370,Arendonk,Arendonk,01/01/1900,31/12/9999,13001
2380,Ravels,Ravels,01/01/1900,31/12/9999,13035
2381,Weelde,Ravels,01/01/1900,31/12/9999,13035
2382,Poppel,Ravels,01/01/1900,31/12/9999,13035
2387,Baarle-Hertog,Baarle-Hertog,01/01/1900,31/12/9999,13002
2390,Malle,Malle,01/01/1900,31/12/9999,11057
2390,Oostmalle,Malle,01/01/1900,31/12/9999,11057
2390,Westmalle,Malle,01/01/1900,31/12/9999,11057
2400,Mol,Mol,01/01/1900,31/12/9999,13025
2430,Eindhout,Laakdal,01/01/1900,31/12/9999,13053
2430,Laakdal,Laakdal,01/01/1900,31/12/9999,13053
2430,Vorst (Kempen),Laakdal,01/01/1900,31/12/9999,13053
2431,Varendonk,Laakdal,01/01/1900,31/12/9999,13053
2431,Veerle,Laakdal,01/01/1900,31/12/9999,13053
2440,Geel,Geel,01/01/1900,31/12/9999,13008
2450,Meerhout,Meerhout,01/01/1900,31/12/9999,13021
2460,Kasterlee,Kasterlee,01/01/1900,31/12/9999,13017
2460,Lichtaart,Kasterlee,01/01/1900,31/12/9999,13017
2460,Tielen,Kasterlee,01/01/1900,31/12/9999,13017
2470,Retie,Retie,01/01/1900,31/12/9999,13036
2480,Dessel,Dessel,01/01/1900,31/12/9999,13006
2490,Balen,Balen,01/01/1900,31/12/9999,13003
2491,Olmen,Balen,01/01/1900,31/12/9999,13003
2500,Koningshooikt,Lier,01/01/1900,31/12/9999,12021
2500,Lier,Lier,01/01/1900,31/12/9999,12021
2520,Broechem,Ranst,01/01/1900,31/12/9999,11035
2520,Emblem,Ranst,01/01/1900,31/12/9999,11035
2520,Oelegem,Ranst,01/01/1900,31/12/9999,11035
2520,Ranst,Ranst,01/01/1900,31/12/9999,11035
2530,Boechout,Boechout,01/01/1900,31/12/9999,11004
2531,Vremde,Boechout,01/01/1900,31/12/9999,11004
2540,Hove,Hove,01/01/1900,31/12/9999,11021
2547,Lint,Lint,01/01/1900,31/12/9999,11025
